ID;descricao;status_ID;criticidade_ID;regulador_ID;detalheDiscussao;principaisImpactos;primeiroRegistro;ultimoRegistro;dataUltimaReuniao;representante_ID;comissao_ID;diretorGeral;diretorExecutivo
28;Temas pontuais e alinhamento gerais;2;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
29;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
30;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
31;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
32;Temas pontuais e alinhamento gerais;2;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
33;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
34;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
35;Temas pontuais e alinhamento gerais;2;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
36;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
37;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
38;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
39;Temas pontuais e alinhamento gerais;2;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
40;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
41;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Paulo Silva;Fábio Morita
42;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;1;Paulo Silva;Fábio Morita
43;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Paulo Silva;Fábio Morita
44;Temas pontuais e alinhamento gerais;4;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Paulo Silva;Fábio Morita
45;Temas pontuais e alinhamento gerais;4;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Paulo Silva;Fábio Morita
46;Temas pontuais e alinhamento gerais;4;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Paulo Silva;Fábio Morita
47;Temas pontuais e alinhamento gerais;4;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Paulo Silva;Fábio Morita
48;Temas pontuais e alinhamento gerais;4;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Paulo Silva;Fábio Morita
49;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Paulo Silva;Fábio Morita
50;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Paulo Silva;Fábio Morita
51;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Paulo Silva;Fábio Morita
52;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Paulo Silva;Fábio Morita
53;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Paulo Silva;Fábio Morita
54;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Paulo Silva;Fábio Morita
55;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Paulo Silva;Fábio Morita
56;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
57;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
58;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
59;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
60;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
61;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
62;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
63;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
64;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
65;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
66;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
67;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
68;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
69;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
70;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
71;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
72;Temas pontuais e alinhamento gerais;3;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
73;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
74;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
75;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
76;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
77;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
78;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
79;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
80;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
81;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
82;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
83;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
84;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
85;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
86;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
87;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
88;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
89;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
90;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
91;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
92;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
93;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
94;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
95;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
96;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646794;1;Roberto Santos;Fábio Morita
97;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
98;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
99;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
100;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
101;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
102;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
103;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
104;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
105;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
106;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
107;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
108;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
109;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0124854;1;Roberto Santos;Fábio Morita
110;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0112332;1;Roberto Santos;Fábio Morita
111;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F1400419;1;Roberto Santos;Fábio Morita
112;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0101906;1;Roberto Santos;Fábio Morita
113;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F3300034;1;Roberto Santos;Fábio Morita
114;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0119780;1;Roberto Santos;Fábio Morita
115;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;F0127474;1;Roberto Santos;Fábio Morita
